,error0
0,356.7083333333333
1,29.78102189781022
2,5.277777777777778
3,11.223420736615685
4,8.384615384615385
5,2.3274423521167744
6,6.6223214285714285
7,5.414448669201521
8,2.3333333333333335
9,1.2664783186758088
10,7.254098360655738
11,1.5806451612903225
12,5.711462450592886
13,12.31673957242314
14,2.06185491650323
15,1.12648370426698
16,1.8122462032304973
17,1.2834869899883021
18,1.108309078114506
19,1.5318385444282547
20,1.0237703967043186
21,1.380356478506443
22,1.4923777535660907
23,7.3088235294117645
24,1.6982536747183192
25,1.2867768922723128
26,1.0
27,1.277435347715396
28,16.510723039215687
29,4.38806779102311
30,2.124218798690421
31,55.79497907949791
32,1.1171874973920808
33,10.333333333333334
34,1.4782608695652173
35,1.0268243466765472
36,1.4563872437149272
37,1.3892108867277264
38,2.1666446062210456
39,2.6485764098645337
40,17.495625362477234
41,1.2909278488304627
42,3.1163615732117242
43,4.209310641403915
44,2.2451739710321266
45,14.12290502793296
46,1.7721748401565067
47,1.4217708663916218
48,1.119395505442017
49,6.591346153846154
50,7.422535211267606
51,4.082619447856727
52,1.1702210620702684
53,30.791780821917808
54,4.353059520556974
55,1.4661910474146096
56,19.8894524421039
57,1.69491976207163
58,981.0
59,1.0677037233236755
60,3.9014726958077914
61,1.4666666666666666
62,1.0823906025338434
63,5.506769113371137
64,1.3198389520801599
65,1.8064118372379778
66,1.476024000711718
67,1.172951008810195
68,1.1930783133861669
69,33.5
70,4.067433247337016
71,2.566685804322387
72,5.411795787819841
73,1.0976992813526636
74,1.804528380705264
75,1.85397158011918
76,1.1827510617169177
77,2.8333333333333335
78,2.1312919463087248
79,1.0890343676249963
80,411.0
81,6.4602677466376965
82,5.894350486266966
83,1.306653668103875
84,1.6868469666018318
85,1.1347081010440052
86,1.0521306882620034
87,1.2877986942077762
88,62.17962962962963
89,3.6755823986194995
90,1.777027027027027
91,2.8088235294117645
92,1.2461431141827206
93,7.626836434867776
94,3.771356783919598
95,6.333805466165073
96,1.2069629357242513
97,1.0311614730878187
98,1.2878624512127748
99,4.413676122590082
100,1.4465718544723158
101,1.1240967983600625
102,1.1942824934793048
103,2.5264857881136953
104,1.0173481980696268
105,1.2801808995920791
106,1.6177573403683618
107,13.53428804495604
108,3.323375181060347
109,1.0035359734314035
110,11.666666666666666
111,1.6639448681351454
112,2.09375
113,2.091256391632073
114,140.44515131696295
115,1.1809850545409744
116,2.827338129496403
117,3.208789634594578
118,1.0800301053687908
119,9.346354166666666
120,40.98601398601399
121,1.075256181264542
122,1.09794040450826
123,1.2432432432432432
124,2.408030041727896
125,1.2953516819571866
126,1.3021582733812949
127,11.13571565556479
128,12.866234321550742
129,1.1977478912783392
130,1.6062084257206208
131,4.0406947474408454
132,8.137077443146897
133,2.7458823529411767
134,4.026427061310782
135,7.152376156146042
136,20.693732812396618
137,1.5591742177691288
138,48.90219378427788
139,24.631379279197905
140,1.1894205340024167
141,4.022216852184682
142,1.1732307416163366
143,4.138774689721919
144,1.404220503995089
145,1.1248018186341706
146,5.936786930575022
147,1.134234737784157
148,2.170557996885316
149,2.606627524515078
150,1.1090423573956802
151,1.0159641762983207
152,1.2838630897915613
153,1.2443105295584223
154,2.786790040847307
155,1.166084821730219
156,447.2105263157895
157,1.1416699709694322
158,1.4404694815328594
159,1.0192115140843334
160,2.350857306363216
161,1.2050344453669768
162,2.5230532786885247
163,26.309859154929576
164,1.7193237695186865
165,4.576183710748355
166,9.81081081081081
167,1.1763352554021784
168,11.186211426779929
169,5.4
170,2.7798620689655174
171,1.0450345313137788
172,34.86666666666667
173,1.0957009784568763
174,1.1784294493486056
175,1.13979738214358
176,4.5994862471712
177,658.8827404479579
178,5.966585424663248
179,2.138825371872283
180,1.3962204690648716
181,2.6851822533107526
182,1.1356037837449944
183,1.439039639768018
184,1.30255312996964
185,10.25643931588708
186,4.456218307837863
187,1.0174031183282655
188,1.0845396082675227
189,1.6881197555810497
190,1.1959304544868818
191,4.0892716327197896
192,3.1961270131055617
193,1.3064624428214162
194,1.4148635160802538
195,1.1222545977296925
196,7.2150209308052204
197,12.409316240514672
198,485.45454545454544
199,1.2898994413909746
200,1.5773584905660378
201,3.655872656297405
202,19.00302085363477
203,11.0803049905456
204,5.024963037036582
205,1.1707431727704083
206,3.1628138205319414
207,9.0
208,8.806605519836204
209,1.164169229768531
210,2.855305733749691
211,20.0
212,3.0706967213114753
213,1.498020861201936
214,2.427282752137679
215,1.0110278023874026
216,2.843024685086969
217,2.2152286804730026
218,1.1590889965108655
219,1.8427567968039313
220,6.245503814081616
221,1.155507424796669
222,1.4683534544689947
223,1.2282794109960704
224,36.4
225,1.4784490513794817
226,10.702127659574469
227,3.465259791054635
228,1.2887867376398936
229,5.162448044998631
230,26.703564836179048
231,4.862745098039215
232,1.0149704217239057
233,2.3947363174160103
234,2.3917663508044362
235,5.42993449934344
236,1.6989247311827957
237,2.613157480219554
238,2.6544138265059014
239,1.2103514445115668
240,12.049821097504813
241,1.07793474261854
242,46.375
243,2.0
244,16.531132665832292
245,295.84615384615387
246,1.1605839084243303
247,1.1625705550329257
248,1.1385388278187283
249,7.641371839322036
250,18.741471170272145
251,1.2761314364923761
252,51.0
253,1.2419373371551727
254,2.784405014811047
255,8.620960136176476
256,8.479148936170212
257,3.2388839720934413
258,1.084477042677988
259,89.23076923076923
260,1.0948872145062911
261,11.427892234548336
262,1.162857279479459
263,1.3800975064750394
264,1.7060733485250978
265,179.50967549866033
266,3.0915989865120292
267,1.2179877500359764
268,3.003182347556446
269,42.07315175097276
270,6.29546084866414
271,25.448529411764707
272,2.3620953669741107
273,6.972991253817043
274,1.717503983352512
275,15.403029264187989
276,2.34732179833231
277,1.217351564918158
278,1.0580695919608054
279,2.257142857142857
280,20.5
281,36.79059040590406
282,1.2533574425075498
283,1.0991135205287625
284,1.4431568645643214
285,43.121088598489386
286,2.121702317521751
287,3.216629366068517
288,1.0551523354394052
289,1.3259458086981755
290,1.309280800028758
291,40.873004620562504
292,1.2569832402234637
293,17.078298737117144
294,1.3805825242718446
295,1.055135377041844
296,53.58730158730159
297,2.897740784780024
298,2.403308197518852
299,2.7044273789536413
300,1.1707250820038766
301,155.4
302,2.1272189615305024
303,17.73462437479579
304,1.4617088607594937
305,1.1846164697761885
306,1.603370168703074
307,1.1388137716323359
308,1.6382287132077165
309,6.078070590838383
310,1.0568023972760587
311,6.537611157170276
312,2.3048780487804876
313,7.333333333333333
314,1.6934970733483667
315,1.1057572327069318
316,1.2437597892079058
317,1.1500457134562685
318,1.038189723510053
319,1.112957293081488
320,1.0863717107862056
321,1.1406461053579469
322,30.55
323,1.038423354723605
324,1.3501238224105798
325,6.083866374933261
326,1.0604401595794681
327,1.1419180768591883
328,5.9928057553956835
329,116.52635240911462
330,5.270919862607083
331,4.0262085643332615
332,1.1698045970184712
333,7.953199505588465
334,5.958213555692547
335,1.0957698734694978
336,40.18452380952381
337,3.2350264278203333
338,3.2220217337047803
339,1.3246659261444425
340,4.303577888036454
341,2.2560975609756095
342,1.8381956046780619
343,9.399613301487573
344,2.3228125
345,1.39191789869286
346,2.4433734939759035
347,1.3623747371376835
348,34.33391304347826
349,2.1915600630736627
350,1.2216131346354273
351,13.549019607843137
352,2.5435016671750312
353,1.2596156103170455
354,1530.4041095890411
355,1.1215998891892844
356,5.96863593978953
357,4.029220779220779
358,1.0753272179920528
359,1.398207907312763
360,3.620746887966805
361,1.1312375148865375
362,5.613333333333333
363,2216.505882352941
364,8.221850886606367
365,1.2770695790239983
366,1.000492125984252
367,2.303920123231471
368,5.0
369,13.968951137250993
370,2.550152488523567
371,4.271485299531899
372,9.772696553277765
373,1.166825762936888
374,2.526500550597505
375,1.253791201901872
376,20.07196900227748
377,1.0832432101376295
378,5.851991731797365
379,6.165442500180024
380,51.0
381,2.327925858834185
382,2.5470581815587
383,16.706410128601338
384,12.390545487010089
385,1.1021464387161266
386,7.333333333333333
387,141.52450980392157
388,1.2319146958529792
389,13.333333333333334
390,4.9877052275747475
391,1.0994018889405577
392,1.2197802197802199
393,5.30399802165341
394,2.5233305597493434
395,16.0
396,373.9837797057714
397,5.548376175222023
398,1.1732314865942697
399,71.10975222507507
400,3.26872332923352
401,13.0
402,2.487647042517021
403,1.5681441971675556
404,3.9170082373222215
405,1.0023172372551952
406,17.126282744611814
407,12.907005470266455
408,1.0124545926310327
409,11.041564291564292
410,6.566015025111028
411,10.349195030740953
412,1.2743545322369112
413,7.364829396325459
414,1.2880594818798459
415,1.122962085400346
416,1.0784313725490196
417,1.085386450578215
418,1.547229252802792
419,1.2791085801776463
420,89.3305954825462
421,1.198828967642527
422,78.06593406593407
423,1.8713800948598311
424,17.6
425,1.0474884303675243
426,2.0124922538262298
427,26.040697674418606
428,36.43529411764706
429,1.1333927103636856
430,4.240056891456701
431,2.1611499912663086
432,6.0
433,4.8
434,1.2328370577597565
435,1.1591548906011653
436,7.167608286252354
437,36.53615960099751
438,1.2493664956344257
439,2.1053726013360468
440,2.5583443546585634
441,3.3298431264723147
442,16.94160583941606
443,4.352492668621701
444,1.6289424276407807
445,1.057532213575167
446,2.570561436479343
447,11.026874317319168
448,1.288784034506773
449,26.224489795918366
450,1.9390876628867066
451,1.0629823251182475
452,1.1939405184663594
453,4.66
454,4.676751263081038
455,6.135896158529835
456,1.0526315789473684
457,3.9473684210526314
458,5.610206024904244
459,1.0495903676740512
460,1.6965069139778974
461,1.572948783355145
462,284.09090909090907
